iter	Passed	Remaining
707	985	406
708	986	404
709	989	404
710	991	402
711	993	401
712	996	401
713	998	400
714	1000	398
715	1001	397
716	1002	395
717	1003	394
718	1004	392
719	1005	390
720	1006	389
721	1007	387
722	1008	386
723	1009	384
724	1011	383
725	1012	382
726	1013	380
727	1014	378
728	1015	377
729	1016	375
730	1017	374
731	1018	372
732	1019	371
733	1020	369
734	1021	368
735	1022	366
736	1023	365
737	1024	363
738	1025	362
739	1026	360
740	1027	359
741	1028	357
742	1030	356
743	1031	354
744	1032	353
745	1033	351
746	1034	350
747	1035	348
748	1036	347
749	1037	345
750	1038	344
751	1040	343
752	1041	341
753	1042	340
754	1043	338
755	1044	337
756	1045	335
757	1046	334
758	1047	332
759	1049	331
760	1050	329
761	1051	328
762	1052	326
763	1053	325
764	1054	324
765	1055	322
766	1056	321
767	1057	319
768	1058	318
769	1060	316
770	1061	315
771	1062	313
772	1063	312
773	1064	310
774	1065	309
775	1066	307
776	1067	306
777	1068	305
778	1069	303
779	1071	302
780	1072	300
781	1073	299
782	1074	297
783	1075	296
784	1076	294
785	1077	293
786	1078	291
787	1079	290
788	1080	288
789	1081	287
790	1082	285
791	1083	284
792	1084	283
793	1085	281
794	1087	280
795	1088	278
796	1089	277
797	1090	275
798	1091	274
799	1092	273
800	1093	271
801	1094	270
802	1095	268
803	1096	267
804	1097	265
805	1098	264
806	1099	262
807	1100	261
808	1102	260
809	1103	258
810	1104	257
811	1105	255
812	1106	254
813	1107	253
814	1108	251
815	1109	250
816	1110	248
817	1111	247
818	1112	245
819	1113	244
820	1115	243
821	1117	241
822	1118	240
823	1119	239
824	1120	237
825	1121	236
826	1122	234
827	1123	233
828	1124	232
829	1126	230
830	1127	229
831	1128	227
832	1129	226
833	1130	225
834	1132	223
835	1133	222
836	1134	220
837	1135	219
838	1136	218
839	1138	216
840	1139	215
841	1140	213
842	1141	212
843	1142	211
844	1144	209
845	1145	208
846	1146	207
847	1147	205
848	1149	204
849	1150	203
850	1151	201
851	1152	200
852	1153	198
853	1154	197
854	1156	196
855	1158	194
856	1159	193
857	1160	192
858	1161	190
859	1163	189
860	1164	187
861	1165	186
862	1166	185
863	1168	183
864	1169	182
865	1170	181
866	1171	179
867	1172	178
868	1173	176
869	1174	175
870	1175	174
871	1176	172
872	1177	171
873	1178	169
874	1179	168
875	1180	167
876	1181	165
877	1183	164
878	1184	163
879	1185	161
880	1186	160
881	1187	158
882	1188	157
883	1189	156
884	1190	154
885	1191	153
886	1193	151
887	1194	150
888	1195	149
889	1196	147
890	1197	146
891	1198	145
892	1199	143
893	1201	142
894	1202	141
895	1203	139
896	1204	138
897	1205	136
898	1206	135
899	1208	134
900	1209	132
901	1210	131
902	1211	130
903	1212	128
904	1214	127
905	1215	126
906	1216	124
907	1217	123
908	1218	121
909	1219	120
910	1220	119
911	1221	117
912	1223	116
913	1224	115
914	1225	113
915	1226	112
916	1228	111
917	1229	109
918	1230	108
919	1231	107
920	1232	105
921	1233	104
922	1234	102
923	1235	101
924	1236	100
925	1237	98
926	1238	97
927	1239	96
928	1241	94
929	1242	93
930	1243	92
931	1244	90
932	1245	89
933	1246	88
934	1247	86
935	1248	85
936	1249	84
937	1251	82
938	1252	81
939	1253	79
940	1254	78
941	1255	77
942	1257	75
943	1258	74
944	1259	73
945	1260	71
946	1261	70
947	1262	69
948	1263	67
949	1264	66
950	1266	65
951	1267	63
952	1268	62
953	1270	61
954	1271	59
955	1272	58
956	1273	57
957	1274	55
958	1275	54
959	1276	53
960	1277	51
961	1279	50
962	1280	49
963	1281	47
964	1282	46
965	1283	45
966	1284	43
967	1285	42
968	1286	41
969	1287	39
970	1288	38
971	1289	37
972	1290	35
973	1291	34
974	1292	33
975	1293	31
976	1294	30
977	1295	29
978	1297	27
979	1298	26
980	1299	25
981	1300	23
982	1301	22
983	1302	21
984	1303	19
985	1304	18
986	1305	17
987	1306	15
988	1307	14
989	1308	13
990	1309	11
991	1311	10
992	1312	9
993	1313	7
994	1314	6
995	1315	5
996	1316	3
997	1317	2
998	1318	1
999	1319	0
